Product Code,Brand Name,Material,Type
100163,,,
100146,,,
100158,Glow-worm,,Gas Heat Only Boiler
100159,Ideal Heating,,
100452,Vaillant,,Gas Combi Boiler Pk
100914,,,
100329,Google Nest,,
100740,,,
100684,Ideal Standard,,Shower Tray
101585,,,
101287,Uponor,,
101085,Ideal Heating,,
101582,,,
100330,,,
101626,,,
100948,,,Nappy Change Unit
102716,,,
102450,,,
100652,,,
100142,Uponor,,
100876,,,
101443,Iflo,,Basin Mixer Tap
101229,Iflo,,Basin Mixer Tap
101581,Worcester Bosch,,
101580,Worcester Bosch,,
101226,Brown Box,,Deck Mounted Tap
103286,,,
103312,,,
102941,,,
103534,,,
101889,Heatrae Sadia,,Indirect
104003,,,
101584,Worcester Bosch,,
103690,,,
101891,Worcester Bosch,,Diverter Valve Switch
100328,Google Nest,,
104565,,,
103364,,,
100438,Vaillant,,Gas Combi Boiler Pack
101221,Brown Box,,Deck Mounted Tap
101744,Iflo,,Bath Shower Mixer Tap
101890,Worcester Bosch,,
101543,Iflo,,Deck Mounted Tap
101897,Worcester Bosch,,Insulation
101892,Heatrae Sadia,,
101888,Heatrae Sadia,,Indirect
103309,Roca,,Reversible Column Unit
103151,Reliance,,
102718,Ideal Standard,,Deck Mounted
100658,,,
100331,Myson,,
103797,Roca,,Syphon
102448,Petite,,
102123,Geberit,,
103230,Own Brand,,Toilet & Basin To Go
104054,Kudos,,
103964,Kudos,,Shower Tray
104364,Kudos,,Shower Tray
103682,Adey,,
104245,Kudos,,Shower Tray
104197,Kudos,,Shower Tray
102103,Vaillant,,Gas Combi Boiler Pk
104063,,,
104042,Kudos,,Shower Tray
104382,Kudos,,Shower Tray
104157,Kudos,,Shower Tray
102121,Worcester Bosch,,
104276,Kudos,,
103879,,,
104345,Kudos,,Shower Tray
104034,Kudos,,Shower Tray
104404,Kudos,,Shower Tray
102104,Vaillant,,Gas Combi Boiler Pk
103287,,,
104542,Kudos,,Shower Tray
104686,Daikin,,
104540,Kudos,,
104564,,,Bath Screen
104593,Kudos,,Shower Tray
102109,Vaillant,,Gas Combi Boiler Pk
104579,Adey,,Magnetic Filter
103360,Iflo,,Toilet Seat
105937,,,
104516,Kinder,,
104061,,,
106493,,,
106489,,,
104893,Kudos,,
104566,Ideal Standard,,
105124,Kudos,,
106542,,,
104599,Kudos,,
105380,,,
104687,Daikin,,Unvented
104591,Kudos,,
105261,Kudos,,
107475,,,
100327,Vaillant,,
106538,,,
108831,,,
108923,,,
108922,,,
105304,Kudos,,
103289,Roca,,Basin and Vanity Unit
104859,Kudos,,
108807,,,
105862,,,
104959,Kudos,,
108808,,,
106029,Pegler,,Decorative Radiator Valves
108921,,,
104910,Kudos,,
105365,,,
105264,Kudos,,
104854,Kudos,,
110257,,,
109974,,,
104930,Kudos,,
110150,,,
109677,,,
105968,Calder,,Lead Flashing
106296,"Jaguar, Protherm and Ikon",,
110261,,,
106561,PlumbRight,,Cleaner
105472,Grohe,,
107408,,,
106724,Embrass,,Traps
105378,Armaflex,,
108592,Ideal Heating,,
106223,Ideal Standard,,Basin Wastes
108873,EPH Controls,,
105366,Marleton,,
108985,,,
105367,,,
110864,,,
109729,Grohe,,Pillar Taps
106492,Danfoss,,Manual Radiator Valves
110034,PlumbRight,,Coupler
110878,,,
110872,,,
106543,Wilo,,Union Set
106544,Wilo,,Domestic
110118,PlumbRight,,Elbow
106684,Horstmann,,
110260,PlumbRight,,Reducers
107279,Iflo,,Wall Hung Pan
110474,Ideal Standard,,Toilet Seat
108044,Ideal Standard,,Worktop
110480,Ideal Standard,,Under Countertop Basin
110475,Ideal Standard,,Countertop Basin
111848,,,
111846,,,
108871,EPH Controls,,
110481,,,
109542,Roper Rhodes,,
110497,Mitsubishi,,
110881,,,
109191,Stelrad,,Single Panel
110814,,,
109791,Biasi,,Diverter Valve
110265,PlumbRight,,Reducers
111741,Baxi,,
109859,Drayton,,Room Thermostat
111430,PlumbRight,,Ball Valve
110477,Ideal Standard,,Countertop Basin
111916,,,
111834,Baxi,,
110482,Ideal Standard,,Countertop Basin
111835,Baxi,,
111940,PlumbRight,,Coupler
110498,Mitsubishi,,
110804,PlumbRight,,Tap Connectors
111406,PlumbRight,,Ball Valve
111989,PlumbRight,,Elbow
110496,,,
111123,Baxi,,
111997,PlumbRight,,Elbow
111380,PlumbRight,,Ball Valve
111986,PlumbRight,,Coupler
112568,,,
112585,,,
112733,,,
112004,PlumbRight,,Tee
112002,PlumbRight,,Elbows
111990,PlumbRight,,Elbow
